entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved,ob_formed
2024-01-09 13:00:00,2024-01-09 15:00:00,long,2034.27,2034.77,2034.77,2044.4948571428572,0.29,0.5,14.499999999999998,SL,10014.5,True,2024-01-08 16:00:00
2024-01-09 15:00:00,2024-01-09 17:00:00,short,2032.305,2031.805,2031.805,2019.4643571428574,0.23,0.5,11.5,SL,10026.0,True,2024-01-09 02:00:00
2024-01-10 07:00:00,2024-01-10 08:00:00,short,2028.905,2032.1619642857142,2032.1619642857142,2019.1341071428571,0.31,-3.2569642857142753,-100.96589285714253,SL,9925.034107142857,False,2024-01-09 16:00:00
2024-01-10 08:00:00,2024-01-10 12:00:00,long,2031.275,2031.775,2031.775,2045.239357142858,0.21,0.5,10.5,SL,9935.534107142857,True,2024-01-09 17:00:00
2024-01-11 13:00:00,2024-01-11 14:00:00,short,2039.305,2032.1676250000003,2041.684125,2032.1676250000003,0.42,7.137374999999793,299.7697499999913,TP,10235.303857142848,False,2024-01-05 12:00:00
2024-01-19 07:00:00,2024-01-19 08:00:00,long,2023.855,2028.7308571428575,2022.2297142857142,2028.7308571428575,0.63,4.875857142857512,307.1790000000233,TP,10542.482857142872,False,2024-01-19 00:00:00
2024-01-23 12:00:00,2024-01-23 14:00:00,long,2023.305,2023.805,2023.805,2034.7524642857147,0.28,0.5,14.000000000000002,SL,10556.482857142872,True,2024-01-22 06:00:00
2024-01-24 14:00:00,2024-01-24 18:00:00,short,2032.89,2015.16,2022.3671428571429,2011.4465357142865,0.15,17.730000000000018,265.9500000000003,SessionEnd,10822.432857142872,True,2024-01-19 13:00:00
2024-01-26 14:00:00,2024-01-26 18:00:00,short,2025.36,2017.35,2022.0419642857144,2007.7821428571426,0.18,8.009999999999991,144.17999999999984,SessionEnd,10966.612857142873,True,2024-01-23 19:00:00
2024-01-30 15:00:00,2024-01-30 18:00:00,long,2029.4,2032.84,2029.9,2044.2296428571435,0.22,3.439999999999827,75.6799999999962,SessionEnd,11042.29285714287,True,2024-01-29 18:00:00
2024-02-01 13:00:00,2024-02-01 14:00:00,long,2033.685,2044.9148571428566,2029.9417142857144,2044.9148571428566,0.29,11.229857142856645,325.66585714284264,TP,11367.958714285713,False,2024-01-30 01:00:00
2024-02-01 15:00:00,2024-02-01 18:00:00,long,2044.815,2055.775,2050.179107142857,2089.0477499999997,0.08,10.960000000000036,87.68000000000029,SessionEnd,11455.638714285713,True,2024-01-31 20:00:00
2024-02-02 13:00:00,2024-02-02 14:00:00,short,2054.78,2049.8401785714286,2056.4266071428574,2049.8401785714286,0.7,4.939821428571577,345.78750000001037,TP,11801.426214285722,False,2024-02-01 20:00:00
2024-02-07 14:00:00,2024-02-07 15:00:00,long,2035.3,2042.7304107142854,2032.8231964285715,2042.7304107142854,0.48,7.430410714285472,356.65971428570265,TP,12158.085928571425,False,2024-02-07 05:00:00
2024-02-08 11:00:00,2024-02-08 12:00:00,short,2033.29,2024.140857142857,2036.3397142857143,2024.140857142857,0.4,9.149142857143033,365.96571428572133,TP,12524.051642857146,False,2024-02-07 11:00:00
2024-02-12 09:00:00,2024-02-12 11:00:00,short,2022.485,2021.985,2021.985,2019.5667499999995,1.29,0.5,64.5,SL,12588.551642857146,True,2024-02-12 03:00:00
2024-02-13 13:00:00,2024-02-13 14:00:00,short,2019.525,2012.5033500000004,2021.86555,2012.5033500000004,0.54,7.021649999999681,379.1690999999828,TP,12967.72074285713,False,2024-02-13 01:00:00
2024-02-14 09:00:00,2024-02-14 14:00:00,short,1991.595,1991.095,1991.095,1985.355803571429,0.62,0.5,31.0,SL,12998.72074285713,True,2024-02-14 00:00:00
2024-02-16 13:00:00,2024-02-16 14:00:00,short,2004.58,1997.5968571428568,2006.9077142857143,1997.5968571428568,0.56,6.983142857143093,391.0560000000133,TP,13389.776742857142,False,2024-02-15 19:00:00
2024-02-21 07:00:00,2024-02-21 15:00:00,long,2030.125,2025.16675,2025.16675,2044.9997499999997,0.27,-4.958249999999907,-133.8727499999975,SL,13255.903992857146,False,2024-02-20 14:00:00
2024-02-22 09:00:00,2024-02-22 13:00:00,long,2029.51,2027.2723571428571,2027.2723571428571,2036.2229285714286,0.59,-2.2376428571428733,-132.0209285714295,SL,13123.883064285716,False,2024-02-21 13:00:00
2024-02-23 08:00:00,2024-02-23 10:00:00,short,2021.02,2020.52,2020.52,2008.6035892857144,0.32,0.5,16.0,SL,13139.883064285716,True,2024-02-22 17:00:00
2024-02-23 12:00:00,2024-02-23 16:00:00,long,2026.935,2036.2465714285713,2027.435,2036.2465714285713,0.42,9.31157142857137,391.0859999999975,TP,13530.969064285713,True,2024-02-23 02:00:00
2024-02-27 08:00:00,2024-02-27 10:00:00,long,2035.145,2035.645,2035.645,2040.4242499999998,0.77,0.5,38.5,SL,13569.469064285713,True,2024-02-26 08:00:00
2024-02-28 13:00:00,2024-02-28 15:00:00,long,2032.45,2032.95,2032.95,2042.6008749999999,0.4,0.5,20.0,SL,13589.469064285713,True,2024-02-27 19:00:00
2024-02-29 13:00:00,2024-02-29 14:00:00,long,2036.64,2042.6337321428575,2034.6420892857143,2042.6337321428575,0.68,5.993732142857425,407.5737857143049,TP,13997.042850000018,False,2024-02-29 04:00:00
2024-03-07 14:00:00,2024-03-07 18:00:00,long,2148.235,2157.135,2149.284107142857,2169.434553571429,0.2,8.900000000000091,178.00000000000182,SessionEnd,14175.04285000002,True,2024-03-06 17:00:00
2024-03-08 08:00:00,2024-03-08 09:00:00,long,2162.035,2170.471482142857,2159.222839285714,2170.471482142857,0.5,8.43648214285713,421.8241071428565,TP,14596.866957142876,False,2024-03-08 00:00:00
2024-03-12 12:00:00,2024-03-12 18:00:00,short,2177.23,2153.625,2164.381607142857,2151.4772500000004,0.17,23.605000000000018,401.2850000000003,SessionEnd,14998.151957142876,True,2024-03-11 13:00:00
2024-03-19 12:00:00,2024-03-19 14:00:00,short,2158.435,2149.626035714286,2157.5969642857144,2149.626035714286,0.51,8.808964285713955,449.2571785714117,TP,15447.409135714288,True,2024-03-18 16:00:00
2024-03-20 07:00:00,2024-03-20 12:00:00,long,2156.995,2150.166892857143,2150.166892857143,2177.4793214285705,0.23,-6.828107142856879,-157.04646428570823,SL,15290.36267142858,False,2024-03-19 13:00:00
2024-03-20 14:00:00,2024-03-20 16:00:00,short,2157.575,2157.075,2157.075,2149.5065,0.57,0.5,28.499999999999996,SL,15318.86267142858,True,2024-03-19 22:00:00
2024-03-26 08:00:00,2024-03-26 09:00:00,long,2173.95,2194.3746428571426,2167.1417857142856,2194.3746428571426,0.23,20.42464285714277,469.76678571428374,TP,15788.629457142864,False,2024-03-26 01:00:00
