entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed
2024-01-05 14:00:00,2024-01-05 15:00:00,short,16294.3,16384.635357142855,16384.635357142855,16023.293928571431,0.83,-90.33535714285608,-74.97834642857055,-0.7497834642857055,SL,9925.02165357143,False,2024-01-04 15:00:00
2024-01-08 14:00:00,2024-01-08 16:00:00,long,16406.0,16520.1,16457.742857142857,16630.664642857144,0.99,114.09999999999854,112.95899999999855,1.1381234615176006,SessionEnd,10037.980653571429,True,2024-01-05 16:00:00
2024-01-10 11:00:00,2024-01-10 16:00:00,long,16692.5,16728.1,16693.0,16844.345000000005,1.49,35.599999999998545,53.04399999999783,0.5284329770164005,SessionEnd,10091.024653571427,True,2024-01-09 18:00:00
2024-01-16 13:00:00,2024-01-16 15:00:00,short,16778.1,16836.645714285714,16836.645714285714,16602.46285714285,1.29,-58.5457142857158,-75.52397142857339,-0.7484271817911362,SL,10015.500682142854,False,2024-01-12 08:00:00
2024-01-22 12:00:00,2024-01-22 13:00:00,long,17424.6,17406.537500000002,17406.537500000002,17478.787499999988,4.16,-18.062499999996362,-75.13999999998487,-0.7502370813468746,SL,9940.36068214287,False,2024-01-22 01:00:00
2024-01-29 09:00:00,2024-01-29 16:00:00,short,17434.5,17469.9,17516.77142857143,17187.685714285715,0.91,-35.400000000001455,-32.21400000000133,-0.3240727477612701,SessionEnd,9908.146682142868,False,2024-01-26 15:00:00
2024-01-31 09:00:00,2024-01-31 12:00:00,short,17315.9,17307.764285714286,17307.764285714286,17184.793571428585,1.7,8.135714285715949,13.830714285717113,0.1395893170479981,SL,9921.977396428585,True,2024-01-30 23:00:00
2024-02-05 15:00:00,2024-02-05 16:00:00,short,17599.8,17569.3,17599.3,17482.8,1.91,30.5,58.254999999999995,0.5871309485241205,SessionEnd,9980.232396428584,True,2024-02-05 08:00:00
2024-02-06 11:00:00,2024-02-06 16:00:00,long,17600.0,17496.8,17460.877142857145,18017.368571428564,0.54,-103.20000000000073,-55.7280000000004,-0.5583837909420085,SessionEnd,9924.504396428583,False,2024-02-05 15:00:00
2024-02-08 15:00:00,2024-02-08 16:00:00,long,17770.6,17809.95142857143,17757.482857142855,17809.95142857143,5.67,39.351428571430006,223.12260000000813,2.248198913391591,TP,10147.626996428591,False,2024-02-08 07:00:00
2024-02-09 14:00:00,2024-02-09 16:00:00,long,17804.0,17926.48464285714,17868.817857142858,17926.48464285714,1.86,122.48464285713999,227.8214357142804,2.2450710475903484,TP,10375.448432142872,True,2024-02-08 17:00:00
2024-02-12 15:00:00,2024-02-12 16:00:00,long,17947.8,17989.253571428573,17933.98214285714,17989.253571428573,5.63,41.45357142857392,233.38360714287117,2.2493833270844927,TP,10608.832039285742,False,2024-02-12 04:00:00
2024-02-16 13:00:00,2024-02-16 14:00:00,long,17847.4,17813.42357142857,17813.42357142857,17949.32928571429,2.34,-33.976428571430006,-79.50484285714622,-0.7494212611033007,SL,10529.327196428596,False,2024-02-15 19:00:00
2024-02-16 14:00:00,2024-02-16 16:00:00,short,17752.1,17751.6,17751.6,17597.90642857142,1.54,0.5,0.77,0.007312907896538475,SL,10530.097196428596,True,2024-02-15 15:00:00
2024-02-23 13:00:00,2024-02-23 14:00:00,long,18000.2,18053.64714285715,17982.384285714284,18053.64714285715,4.43,53.44714285714872,236.77084285716882,2.2485152647733617,TP,10766.868039285766,False,2024-02-23 06:00:00
2024-02-28 09:00:00,2024-02-28 16:00:00,short,17880.6,17920.9,17932.085714285713,17726.142857142855,1.57,-40.30000000000291,-63.27100000000457,-0.5876453558188286,SessionEnd,10703.597039285762,False,2024-02-27 18:00:00
2024-02-29 13:00:00,2024-02-29 14:00:00,long,17889.7,17942.840714285718,17871.98642857143,17942.840714285718,4.53,53.14071428571697,240.72743571429788,2.249033057118538,TP,10944.32447500006,False,2024-02-29 05:00:00
2024-03-01 15:00:00,2024-03-01 16:00:00,long,18089.3,18142.86714285714,18071.444285714286,18142.86714285714,4.6,53.567142857140425,246.40885714284593,2.25147616653466,TP,11190.733332142905,False,2024-03-01 04:00:00
2024-03-12 12:00:00,2024-03-12 13:00:00,long,18005.3,17916.598571428574,17916.598571428574,18271.404285714274,0.95,-88.70142857142491,-84.26635714285366,-0.753001207711895,SL,11106.466975000052,False,2024-03-11 08:00:00
2024-03-13 12:00:00,2024-03-13 14:00:00,long,18157.8,18060.415714285715,18060.415714285715,18449.952857142853,0.86,-97.38428571428449,-83.75048571428466,-0.754069551575687,SL,11022.716489285767,False,2024-03-12 16:00:00
2024-03-15 13:00:00,2024-03-15 14:00:00,short,17987.4,17890.593214285713,18019.66892857143,17890.593214285713,2.56,96.80678571428871,247.8253714285791,2.2483148475193824,TP,11270.541860714346,False,2024-03-15 00:00:00
2024-03-22 11:00:00,2024-03-22 12:00:00,short,18350.49,18308.344607142866,18364.538464285713,18308.344607142866,6.02,42.14539285713545,253.71526499995537,2.2511363529408377,TP,11524.2571257143,False,2024-03-21 22:00:00
2024-03-26 14:00:00,2024-03-26 16:00:00,long,18317.11,18317.61,18317.61,18412.036214285723,2.73,0.5,1.365,0.011844581261157812,SL,11525.6221257143,True,2024-03-25 16:00:00
2024-03-27 09:00:00,2024-03-27 10:00:00,short,18287.78,18313.535964285715,18313.535964285715,18210.51210714285,3.36,-25.75596428571589,-86.54004000000539,-0.7508491867604247,SL,11439.082085714295,False,2024-03-25 20:00:00
2024-03-27 13:00:00,2024-03-27 14:00:00,short,18279.13,18202.795535714293,18304.57482142857,18202.795535714293,3.37,76.33446428570824,257.24714464283676,2.24884429288343,TP,11696.329230357132,False,2024-03-27 04:00:00
