entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed
2025-01-03 15:00:00,2025-01-03 16:00:00,long,96905.48,97727.435,96631.495,97727.435,0.27,821.9550000000017,221.9278500000005,2.219278500000005,TP,10221.92785,False,2025-01-03 00:00:00
2025-01-12 12:00:00,2025-01-12 13:00:00,short,94363.49,94640.85053571429,94640.85053571429,93531.40839285716,0.28,-277.36053571428056,-77.66094999999856,-0.7597485634766887,SL,10144.266900000002,False,2025-01-11 14:00:00
2025-01-15 13:00:00,2025-01-15 14:00:00,long,97306.38,99413.02682142859,96604.16439285714,99413.02682142859,0.11,2106.646821428585,231.73115035714437,2.2843558104444623,TP,10375.998050357146,False,2025-01-15 02:00:00
2025-01-16 14:00:00,2025-01-16 15:00:00,short,99359.06,97489.87582142858,99982.12139285714,97489.87582142858,0.12,1869.1841785714205,224.30210142857044,2.1617400113220904,TP,10600.300151785716,False,2025-01-16 06:00:00
2025-01-19 09:00:00,2025-01-19 11:00:00,long,104318.45,104318.95,104318.95,106544.32935714284,0.11,0.5,0.055,0.000518853232573181,SL,10600.355151785716,True,2025-01-18 14:00:00
2025-01-20 15:00:00,2025-01-20 16:00:00,long,104639.85,103687.70382142857,103687.70382142857,107496.28853571431,0.08,-952.1461785714346,-76.17169428571476,-0.7185768136540504,SL,10524.183457500001,False,2025-01-19 11:00:00
2025-02-02 11:00:00,2025-02-02 14:00:00,short,99182.97,99182.47,99182.47,96853.69832142857,0.1,0.5,0.05,0.00047509624097599496,SL,10524.2334575,True,2025-02-02 04:00:00
2025-02-05 14:00:00,2025-02-05 16:00:00,short,98969.49,98012.31,98968.99,96309.0835714286,0.09,957.1800000000076,86.14620000000068,0.8185508269831221,SessionEnd,10610.379657500001,True,2025-02-04 06:00:00
2025-02-10 15:00:00,2025-02-10 16:00:00,long,96995.5,97336.64,96996.0,98226.40610714289,0.19,341.1399999999994,64.8165999999999,0.6108791776756447,SessionEnd,10675.196257500002,True,2025-02-09 02:00:00
2025-02-11 12:00:00,2025-02-11 13:00:00,long,97688.53,97113.93592857143,97113.93592857143,99412.3122142857,0.14,-574.594071428568,-80.44316999999953,-0.7535521414276867,SL,10594.753087500003,False,2025-02-10 12:00:00
2025-02-11 13:00:00,2025-02-11 16:00:00,short,97390.38,96359.55,97109.79964285715,94247.95842857147,0.08,1030.8300000000017,82.46640000000014,0.7783701924804306,SessionEnd,10677.219487500002,True,2025-02-10 13:00:00
2025-02-12 13:00:00,2025-02-12 14:00:00,short,96039.9,95182.61432142851,96325.66189285716,95182.61432142851,0.28,857.285678571483,240.03999000001525,2.2481507501183624,TP,10917.259477500018,False,2025-02-12 01:00:00
2025-02-14 14:00:00,2025-02-14 15:00:00,long,97167.14,96687.10432142857,96687.10432142857,98607.24703571427,0.17,-480.0356785714248,-81.60606535714223,-0.7474958850738014,SL,10835.653412142876,False,2025-02-14 04:00:00
2025-02-17 15:00:00,2025-02-17 16:00:00,short,96037.56,95336.93,96032.63321428571,94948.92310714285,0.22,700.6300000000047,154.13860000000102,1.4225131991326614,SessionEnd,10989.792012142876,True,2025-02-17 05:00:00
2025-02-19 15:00:00,2025-02-19 16:00:00,long,95612.97,96291.3,95614.40571428572,96949.95289285712,0.18,678.3300000000017,122.09940000000032,1.111025575962583,SessionEnd,11111.891412142877,True,2025-02-19 00:00:00
2025-02-20 15:00:00,2025-02-20 16:00:00,long,96866.46,97737.94564285717,96575.96478571428,97737.94564285717,0.29,871.4856428571657,252.73083642857802,2.2744178021070134,TP,11364.622248571455,False,2025-02-20 01:00:00
2025-02-21 15:00:00,2025-02-21 16:00:00,long,97568.68,98230.03,97569.18,99869.26085714284,0.11,661.3500000000058,72.74850000000065,0.6401312635723128,SessionEnd,11437.370748571457,True,2025-02-20 14:00:00
2025-02-23 09:00:00,2025-02-23 14:00:00,short,96452.09,95630.68775000001,96103.25607142856,95630.68775000001,0.31,821.4022499999846,254.63469749999524,2.226339454212407,TP,11692.005446071453,True,2025-02-22 19:00:00
2025-02-24 14:00:00,2025-02-24 15:00:00,short,95796.52,93925.66042857144,96420.13985714286,93925.66042857144,0.14,1870.859571428562,261.9203399999987,2.240166079361558,TP,11953.925786071452,False,2025-02-23 23:00:00
2025-03-01 11:00:00,2025-03-01 16:00:00,long,84354.85,85225.42,83438.19789285715,87104.80632142858,0.1,870.5699999999924,87.05699999999925,0.7282712102950887,SessionEnd,12040.98278607145,False,2025-02-28 17:00:00
2025-03-02 15:00:00,2025-03-02 16:00:00,long,86317.13,88867.35714285716,85467.05428571429,88867.35714285716,0.11,2550.227142857155,280.524985714287,2.329751571763624,TP,12321.507771785737,False,2025-03-02 02:00:00
2025-03-03 14:00:00,2025-03-03 16:00:00,short,91608.09,90083.33,91607.59,88273.43110714285,0.08,1524.7599999999948,121.98079999999959,0.9899827379837063,SessionEnd,12443.488571785736,True,2025-03-03 07:00:00
2025-03-05 14:00:00,2025-03-05 16:00:00,long,88198.25,88894.25,86503.28075,93283.15774999998,0.06,696.0,41.76,0.3355972061941398,SessionEnd,12485.248571785736,False,2025-03-04 20:00:00
2025-03-11 13:00:00,2025-03-11 14:00:00,short,82019.53,79670.01967857144,82802.70010714285,79670.01967857144,0.12,2349.5103214285627,281.9412385714275,2.258194836493368,TP,12767.189810357164,False,2025-03-10 04:00:00
2025-03-12 12:00:00,2025-03-12 13:00:00,long,82911.81,82463.3660357143,82463.3660357143,84257.14189285711,0.21,-448.44396428570326,-94.17323249999768,-0.7376191150820148,SL,12673.016577857166,False,2025-03-12 00:00:00
