entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed,spread_cost,commission
2025-07-23 09:00:00,2025-07-23 13:00:00,long,23113.5,23041.902142857143,23041.902142857143,23328.29357142857,1.05,-73.59785714285681,-80.95274999999965,-0.8095274999999966,SL,9919.04725,False,2025-07-23 00:00:00,2.1,3.6750000000000003
2025-07-29 13:00:00,2025-07-29 14:00:00,long,23432.8,23413.05,23413.05,23492.05,3.77,-21.75,-95.1925,-0.9596939867384944,SL,9823.85475,False,2025-07-28 06:00:00,7.54,13.195
2025-08-05 09:00:00,2025-08-05 12:00:00,long,23231.6,23232.1,23232.1,23338.64214285714,2.06,-1.5,-10.3,-0.10484682705635484,SL,9813.554750000001,True,2025-08-04 22:00:00,4.12,7.21
2025-08-05 14:00:00,2025-08-05 16:00:00,short,23253.8,23065.7,23130.47857142857,22999.654999999988,0.87,186.09999999999854,158.86199999999874,1.6188017904521166,SessionEnd,9972.41675,True,2025-07-31 18:00:00,1.74,3.045
2025-08-08 13:00:00,2025-08-08 14:00:00,long,23453.8,23528.08642857143,23429.037857142856,23528.08642857143,3.02,72.28642857143132,207.73501428572257,2.0830959986276403,TP,10180.151764285723,False,2025-08-07 23:00:00,6.04,10.57
2025-08-12 14:00:00,2025-08-12 15:00:00,long,23537.1,23637.441428571423,23503.652857142857,23637.441428571423,2.28,98.34142857142433,216.23845714284747,2.1241182071711435,TP,10396.390221428572,False,2025-08-11 20:00:00,4.56,7.9799999999999995
2025-08-13 14:00:00,2025-08-13 15:00:00,long,23837.8,23820.0375,23820.0375,23891.0875,4.39,-19.762500000000728,-102.12237500000319,-0.9822868594285076,SL,10294.26784642857,False,2025-08-12 22:00:00,8.78,15.364999999999998
2025-08-14 12:00:00,2025-08-14 13:00:00,short,23826.0,23843.852142857144,23843.852142857144,23772.44357142857,4.32,-19.852142857143917,-100.88125714286173,-0.9799750564860312,SL,10193.386589285707,False,2025-08-14 04:00:00,8.64,15.120000000000001
2025-08-20 13:00:00,2025-08-20 14:00:00,short,23269.5,23191.539642857144,23295.486785714285,23191.539642857144,2.94,75.96035714285608,213.0334499999969,2.0899182831338594,TP,10406.420039285704,False,2025-08-20 05:00:00,5.88,10.29
2025-08-25 14:00:00,2025-08-25 16:00:00,long,23498.2,23526.8,23444.612500000003,23658.962499999994,1.46,26.599999999998545,33.725999999997875,0.3240883980531006,SessionEnd,10440.146039285702,False,2025-08-25 06:00:00,2.92,5.109999999999999
2025-08-28 14:00:00,2025-08-28 16:00:00,long,23559.4,23673.0,23366.032857142858,24139.50142857143,0.4,111.59999999999854,43.23999999999942,0.41417045161331695,SessionEnd,10483.386039285702,False,2025-08-27 20:00:00,0.8,1.4000000000000001
2025-08-29 13:00:00,2025-08-29 14:00:00,short,23556.7,23427.577857142856,23599.740714285716,23427.577857142856,1.83,127.12214285714435,226.22852142857417,2.15797186692162,TP,10709.614560714277,False,2025-08-28 12:00:00,3.66,6.405
2025-09-03 13:00:00,2025-09-03 15:00:00,long,23335.2,23388.882142857143,23388.882142857143,23483.92285714286,1.62,51.682142857142026,78.05507142857009,0.728831751937151,SL,10787.669632142848,True,2025-09-02 22:00:00,3.24,5.67
2025-09-04 15:00:00,2025-09-04 16:00:00,long,23458.2,23495.3,23458.7,23553.117857142857,2.56,35.099999999998545,80.89599999999626,0.7498931906383121,SessionEnd,10868.565632142845,True,2025-09-04 02:00:00,5.12,8.96
2025-09-08 13:00:00,2025-09-08 14:00:00,long,23746.5,23809.672499999997,23725.4425,23809.672499999997,3.87,61.172499999996944,223.19257499998818,2.053560539211498,TP,11091.758207142833,False,2025-09-08 00:00:00,7.74,13.545
2025-09-12 11:00:00,2025-09-12 13:00:00,long,23992.3,23992.8,23992.8,24033.485714285714,6.06,-1.5,-30.299999999999997,-0.27317580706445177,SL,11061.458207142834,True,2025-09-12 01:00:00,12.12,21.209999999999997
2025-10-01 12:00:00,2025-10-01 14:00:00,short,24577.2,24576.7,24576.7,24424.745357142867,1.63,-1.5,-8.15,-0.0736792550076012,SL,11053.308207142834,True,2025-09-30 12:00:00,3.26,5.705
2025-10-02 13:00:00,2025-10-02 15:00:00,long,24805.2,24805.7,24805.7,24890.365714285716,2.92,-1.5,-14.599999999999998,-0.132087151886032,SL,11038.708207142834,True,2025-10-01 19:00:00,5.84,10.219999999999999
2025-10-03 11:00:00,2025-10-03 16:00:00,long,24948.5,24909.3,24796.333214285714,25405.000357142857,0.54,-41.20000000000073,-24.138000000000396,-0.21866689060936842,SessionEnd,11014.570207142833,False,2025-10-02 13:00:00,1.08,1.8900000000000001
