entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed
2022-01-11 15:00:00,2022-01-11 18:00:00,long,1808.803,1818.5344642857144,1812.007107142857,1818.5344642857144,0.23,9.73146428571431,214.62367857142914,2.1462367857142914,TP,10214.62367857143,True,2022-01-11 09:00:00
2022-01-18 14:00:00,2022-01-18 16:00:00,short,1819.78,1819.28,1819.28,1813.2955214285716,0.35,0.20000000000004547,-6.999999999998408,-0.0685292010775026,SL,10207.623678571432,True,2022-01-17 13:00:00
2022-01-19 13:00:00,2022-01-19 18:00:00,long,1819.896,1841.901,1835.3892857142857,1849.184475,0.08,22.00500000000011,172.84000000000088,1.6932442402127232,SessionEnd,10380.463678571432,True,2022-01-18 16:00:00
2022-01-20 13:00:00,2022-01-20 14:00:00,long,1839.757,1845.6853749999998,1837.7808750000002,1845.6853749999998,0.39,5.928374999999733,215.60662499998958,2.077042333331121,TP,10596.070303571421,False,2022-01-19 23:00:00
2022-01-21 08:00:00,2022-01-21 09:00:00,short,1838.08,1831.9427607142857,1840.1257464285713,1831.9427607142857,0.39,6.137239285714259,223.7523321428561,2.1116539031214243,TP,10819.822635714278,False,2022-01-20 21:00:00
2022-01-25 14:00:00,2022-01-25 15:00:00,long,1842.189,1850.3517000000008,1839.4680999999998,1850.3517000000008,0.3,8.162700000000768,232.88100000002305,2.152355060158981,TP,11052.7036357143,False,2022-01-25 01:00:00
2022-02-03 07:00:00,2022-02-03 08:00:00,long,1806.163,1803.4510857142857,1803.4510857142857,1814.298742857143,0.31,-3.0119142857142833,-105.76934285714279,-0.9569544822985498,SL,10946.934292857159,False,2022-02-01 12:00:00
2022-02-03 14:00:00,2022-02-03 15:00:00,short,1797.519,1799.4247892857143,1799.4247892857143,1791.8016321428572,0.43,-2.205789285714218,-112.04893928571137,-1.0235645550446297,SL,10834.885353571448,False,2022-02-02 05:00:00
2022-02-04 13:00:00,2022-02-04 14:00:00,short,1805.897,1800.1317821428572,1807.8187392857142,1800.1317821428572,0.42,5.765217857142716,225.33914999999405,2.0797557394155226,TP,11060.224503571442,False,2022-02-04 01:00:00
2022-02-07 15:00:00,2022-02-07 18:00:00,long,1813.176,1821.124,1816.348,1828.0158107142856,0.17,7.948000000000093,128.31600000000157,1.1601572821470958,SessionEnd,11188.540503571443,True,2022-02-07 01:00:00
