entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed,spread_cost,commission
2024-01-05 14:00:00,2024-01-05 15:00:00,short,16292.3,16384.635357142855,16384.635357142855,16015.293928571431,0.81,-94.33535714285608,-79.24663928571343,-0.7924663928571343,SL,9920.753360714287,False,2024-01-04 15:00:00,1.62,2.835
2024-01-08 14:00:00,2024-01-08 16:00:00,long,16408.0,16520.1,16457.742857142857,16638.664642857144,0.97,110.09999999999854,103.4019999999986,1.0422797164725979,SessionEnd,10024.155360714285,True,2024-01-05 16:00:00,1.94,3.395
2024-01-10 11:00:00,2024-01-10 16:00:00,long,16694.5,16728.1,16641.885,16852.345000000005,1.43,31.599999999998545,40.18299999999792,0.40086170409408567,SessionEnd,10064.338360714282,False,2024-01-09 18:00:00,2.86,5.005
2024-01-16 13:00:00,2024-01-16 15:00:00,short,16776.1,16836.645714285714,16836.645714285714,16594.46285714285,1.25,-62.5457142857158,-82.55714285714475,-0.8202937927783017,SL,9981.781217857137,False,2024-01-12 08:00:00,2.5,4.375
2024-01-22 12:00:00,2024-01-22 13:00:00,long,17426.6,17406.537500000002,17406.537500000002,17486.787499999988,3.73,-22.062499999996362,-95.34812499998642,-0.9552215473267558,SL,9886.43309285715,False,2024-01-22 01:00:00,7.46,13.055
2024-01-29 09:00:00,2024-01-29 16:00:00,short,17432.5,17469.9,17516.77142857143,17179.685714285715,0.88,-39.400000000001455,-37.75200000000128,-0.38185662761705963,SessionEnd,9848.68109285715,False,2024-01-26 15:00:00,1.76,3.08
2024-01-31 09:00:00,2024-01-31 12:00:00,short,17313.9,17307.764285714286,17307.764285714286,17176.793571428585,1.62,4.135714285715949,1.0298571428598375,0.010456802623112157,SL,9849.71095000001,True,2024-01-30 23:00:00,3.24,5.67
2024-02-05 15:00:00,2024-02-05 16:00:00,short,17597.8,17569.3,17597.3,17474.8,1.8,26.5,41.400000000000006,0.42031690280210676,SessionEnd,9891.11095000001,True,2024-02-05 08:00:00,3.6,6.3
2024-02-06 11:00:00,2024-02-06 16:00:00,long,17602.0,17496.8,17460.877142857145,18025.368571428564,0.53,-107.20000000000073,-58.67100000000038,-0.5931689604593944,SessionEnd,9832.439950000009,False,2024-02-05 15:00:00,1.06,1.855
2024-02-08 15:00:00,2024-02-08 16:00:00,long,17772.6,17804.1,17773.1,17817.95142857143,4.88,29.5,126.88000000000001,1.2904223228945313,SessionEnd,9959.319950000008,True,2024-02-08 07:00:00,9.76,17.08
2024-02-09 14:00:00,2024-02-09 16:00:00,long,17806.0,17911.7,17868.817857142858,17934.48464285714,1.74,103.70000000000073,174.34800000000126,1.7506014554738862,SessionEnd,10133.66795000001,True,2024-02-08 17:00:00,3.48,6.09
2024-02-12 15:00:00,2024-02-12 16:00:00,long,17949.8,17997.253571428573,17933.98214285714,17997.253571428573,4.8,45.45357142857392,201.3771428571548,1.987208815709761,TP,10335.045092857164,False,2024-02-12 04:00:00,9.6,16.8
2024-02-16 13:00:00,2024-02-16 14:00:00,long,17849.4,17813.42357142857,17813.42357142857,17957.32928571429,2.15,-37.976428571430006,-89.17432142857452,-0.8628343720551869,SL,10245.87077142859,False,2024-02-15 19:00:00,4.3,7.5249999999999995
2024-02-16 14:00:00,2024-02-16 16:00:00,short,17750.1,17749.6,17749.6,17589.90642857142,1.44,-1.5,-7.2,-0.07027221170969443,SL,10238.67077142859,True,2024-02-15 15:00:00,2.88,5.04
2024-02-23 13:00:00,2024-02-23 14:00:00,long,18002.2,18061.64714285715,17982.384285714284,18061.64714285715,3.88,57.44714285714872,209.31491428573702,2.044356332560653,TP,10447.985685714326,False,2024-02-23 06:00:00,7.76,13.58
2024-02-28 09:00:00,2024-02-28 16:00:00,short,17878.6,17920.9,17932.085714285713,17718.142857142855,1.47,-44.30000000000291,-70.26600000000427,-0.6725315492734636,SessionEnd,10377.71968571432,False,2024-02-27 18:00:00,2.94,5.145
2024-02-29 13:00:00,2024-02-29 14:00:00,long,17891.7,17950.840714285718,17871.98642857143,17950.840714285718,3.95,57.14071428571697,211.88082142858204,2.0416895796506362,TP,10589.600507142903,False,2024-02-29 05:00:00,7.9,13.825000000000001
2024-03-01 15:00:00,2024-03-01 16:00:00,long,18091.3,18150.86714285714,18071.444285714286,18150.86714285714,4.0,57.567142857140425,216.2685714285617,2.042273183796538,TP,10805.869078571464,False,2024-03-01 04:00:00,8.0,14.0
2024-03-12 12:00:00,2024-03-12 13:00:00,long,18007.3,17916.598571428574,17916.598571428574,18279.404285714274,0.89,-92.70142857142491,-85.61927142856817,-0.7923404476402098,SL,10720.249807142896,False,2024-03-11 08:00:00,1.78,3.115
2024-03-13 12:00:00,2024-03-13 14:00:00,long,18159.8,18060.415714285715,18060.415714285715,18457.952857142853,0.81,-101.38428571428449,-84.95627142857043,-0.7924840648019613,SL,10635.293535714325,False,2024-03-12 16:00:00,1.62,2.835
2024-03-15 13:00:00,2024-03-15 14:00:00,short,17985.4,17882.593214285713,18019.66892857143,17882.593214285713,2.33,100.80678571428871,226.7248107142927,2.131815261637389,TP,10862.018346428618,False,2024-03-15 00:00:00,4.66,8.155000000000001
2024-03-22 11:00:00,2024-03-22 12:00:00,short,18348.49,18300.344607142866,18364.538464285713,18300.344607142866,5.08,46.14539285713545,216.63859571424808,1.9944598582405992,TP,11078.656942142867,False,2024-03-21 22:00:00,10.16,17.78
2024-03-26 14:00:00,2024-03-26 16:00:00,long,18319.11,18319.61,18319.61,18420.036214285723,2.47,-1.5,-12.350000000000001,-0.11147560633474429,SL,11066.306942142866,True,2024-03-25 16:00:00,4.94,8.645000000000001
2024-03-27 09:00:00,2024-03-27 10:00:00,short,18285.78,18313.535964285715,18313.535964285715,18202.51210714285,2.99,-29.75596428571589,-99.43533321429052,-0.8985412544054737,SL,10966.871608928575,False,2024-03-25 20:00:00,5.98,10.465
2024-03-27 13:00:00,2024-03-27 14:00:00,short,18277.13,18194.795535714293,18304.57482142857,18194.795535714293,3.0,80.33446428570824,230.5033928571247,2.101815367925549,TP,11197.3750017857,False,2024-03-27 04:00:00,6.0,10.5
2024-04-01 13:00:00,2024-04-01 15:00:00,long,18306.45,18306.95,18306.95,18448.56567857143,1.77,-1.5,-8.850000000000001,-0.07903638128211879,SL,11188.5250017857,True,2024-03-28 14:00:00,3.54,6.195
2024-04-01 15:00:00,2024-04-01 16:00:00,short,18252.95,18266.92,18297.150071428572,18120.349785714287,1.9,-15.969999999997526,-36.9929999999953,-0.3306333944294818,SessionEnd,11151.532001785705,False,2024-03-28 18:00:00,3.8,6.6499999999999995
2024-04-02 11:00:00,2024-04-02 14:00:00,short,18221.67,18006.784071428567,18107.684285714284,18006.784071428567,1.17,212.88592857143158,244.98153642857494,2.196841980001903,TP,11396.51353821428,True,2024-04-01 16:00:00,2.34,4.095
2024-04-03 14:00:00,2024-04-03 15:00:00,long,18092.22,18179.80532142857,18063.024892857145,18179.80532142857,2.93,85.58532142856711,240.50999178570166,2.1103821881949627,TP,11637.023529999982,False,2024-04-02 17:00:00,5.86,10.255
2024-04-09 14:00:00,2024-04-09 16:00:00,short,18114.99,18114.49,18114.49,17892.93878571429,1.18,-1.5,-5.9,-0.050700249808638215,SL,11631.123529999983,True,2024-04-08 12:00:00,2.36,4.13
2024-04-10 12:00:00,2024-04-10 13:00:00,short,18157.21,18042.10664285714,18195.577785714286,18042.10664285714,2.27,113.10335714285975,248.79962071429162,2.139085016787643,TP,11879.923150714274,False,2024-04-09 12:00:00,4.54,7.945
2024-04-11 12:00:00,2024-04-11 13:00:00,long,18029.04,18091.356535714283,18008.267821428573,18091.356535714283,4.29,60.31653571428251,243.742938214272,2.0517215062928846,TP,12123.666088928547,False,2024-04-11 06:00:00,8.58,15.015
2024-04-22 14:00:00,2024-04-22 15:00:00,short,17135.4,17038.761214285714,17167.61292857143,17038.761214285714,2.82,94.63878571428722,257.01137571428995,2.1199146679649594,TP,12380.677464642837,False,2024-04-22 06:00:00,5.64,9.87
2024-04-25 12:00:00,2024-04-25 14:00:00,short,17282.86,17282.36,17282.36,17145.163535714288,2.02,-1.5,-10.100000000000001,-0.08157873451468167,SL,12370.577464642836,True,2024-04-25 06:00:00,4.04,7.07
2024-04-26 14:00:00,2024-04-26 16:00:00,long,17643.63,17748.08,17669.71785714286,17757.556928571437,2.44,102.45000000000073,241.43800000000178,1.9517116374726375,SessionEnd,12612.015464642838,True,2024-04-25 23:00:00,4.88,8.54
2024-05-01 09:00:00,2024-05-01 11:00:00,short,17353.33,17352.83,17352.83,17240.72950000001,2.52,-1.5,-12.600000000000001,-0.09990473001974569,SL,12599.415464642838,True,2024-04-30 22:00:00,5.04,8.82
