entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,pnl_pct,reason,capital,be_moved,ob_formed
2024-01-09 13:00:00,2024-01-09 15:00:00,long,2034.256,2034.756,2034.756,2044.8465892857148,0.21,0.20000000000004547,-4.199999999999045,-0.041999999999990455,SL,9995.800000000001,True,2024-01-08 16:00:00
2024-01-09 15:00:00,2024-01-09 17:00:00,short,2032.169,2031.669,2031.669,2018.9426214285718,0.17,0.20000000000004547,-3.3999999999992276,-0.03401428600011232,SL,9992.400000000001,True,2024-01-09 02:00:00
2024-01-10 07:00:00,2024-01-10 08:00:00,short,2028.661,2032.0477107142858,2032.0477107142858,2018.5008678571428,0.22,-3.6867107142857094,-89.9076357142856,-0.8997601748757614,SL,9902.492364285716,False,2024-01-09 16:00:00
2024-01-10 08:00:00,2024-01-10 12:00:00,long,2031.167,2031.667,2031.667,2045.1818107142853,0.16,0.20000000000004547,-3.1999999999992728,-0.0323150968693536,SL,9899.292364285717,True,2024-01-09 17:00:00
2024-01-11 13:00:00,2024-01-11 14:00:00,short,2039.136,2031.6698035714287,2041.624732142857,2031.6698035714287,0.3,7.466196428571266,211.98589285713797,2.141424710537214,TP,10111.278257142854,False,2024-01-05 12:00:00
2024-01-23 12:00:00,2024-01-23 14:00:00,long,2023.207,2023.707,2023.707,2034.7784714285717,0.2,0.20000000000004547,-3.9999999999990905,-0.03955978560053367,SL,10107.278257142854,True,2024-01-22 06:00:00
2024-01-24 14:00:00,2024-01-24 18:00:00,short,2032.808,2015.073,2022.226,2011.6081785714282,0.11,17.7349999999999,190.6849999999989,1.8866107684849878,SessionEnd,10297.963257142854,True,2024-01-19 13:00:00
2024-01-26 14:00:00,2024-01-26 18:00:00,short,2025.169,2017.304,2021.9779642857143,2007.106225,0.13,7.865000000000009,97.04500000000012,0.9423708123321177,SessionEnd,10395.008257142854,True,2024-01-23 19:00:00
2024-01-29 14:00:00,2024-01-29 15:00:00,long,2023.424,2020.4943285714285,2020.4943285714285,2032.2130142857145,0.27,-3.2296714285714643,-98.00112857142953,-0.9427710507501402,SL,10297.007128571424,False,2024-01-28 23:00:00
2024-01-29 15:00:00,2024-01-29 18:00:00,long,2023.424,2025.796,2023.924,2032.256535714286,0.26,2.372000000000071,51.272000000001846,0.4979310916250203,SessionEnd,10348.279128571427,True,2024-01-28 23:00:00
2024-01-30 15:00:00,2024-01-30 18:00:00,long,2029.306,2032.729,2029.806,2044.3887464285717,0.15,3.423000000000002,45.34500000000003,0.43818879870376937,SessionEnd,10393.624128571426,True,2024-01-29 18:00:00
2024-01-31 08:00:00,2024-01-31 10:00:00,long,2036.756,2037.256,2037.256,2041.8723071428576,0.46,0.20000000000004547,-9.19999999999791,-0.08851580436421289,SL,10384.424128571429,True,2024-01-30 23:00:00
2024-02-01 13:00:00,2024-02-01 14:00:00,long,2033.529,2044.4598000000003,2029.8854,2044.4598000000003,0.21,10.930800000000318,221.14680000000666,2.129600999169027,TP,10605.570928571435,False,2024-01-30 01:00:00
2024-02-01 15:00:00,2024-02-01 18:00:00,long,2044.748,2055.744,2050.0769642857144,2089.164917857143,0.05,10.996000000000095,52.98000000000047,0.49954877824891264,SessionEnd,10658.550928571436,True,2024-01-31 20:00:00
2024-02-02 13:00:00,2024-02-02 14:00:00,short,2054.379,2039.5482964285707,2059.322567857143,2039.5482964285707,0.16,14.83070357142924,230.89125714286783,2.166253730832566,TP,10889.442185714304,False,2024-02-01 18:00:00
2024-02-07 14:00:00,2024-02-07 15:00:00,long,2035.204,2042.459971428571,2032.785342857143,2042.459971428571,0.34,7.2559714285710015,233.10302857141406,2.140633327180142,TP,11122.545214285718,False,2024-02-07 05:00:00
2024-02-08 11:00:00,2024-02-08 12:00:00,short,2033.109,2023.75935,2036.2255499999999,2023.75935,0.27,9.349649999999883,241.64054999999684,2.1725292668591307,TP,11364.185764285714,False,2024-02-07 11:00:00
2024-02-12 09:00:00,2024-02-12 11:00:00,short,2022.382,2021.882,2021.882,2019.4288535714286,0.87,0.20000000000004547,-17.399999999996048,-0.15311259742584565,SL,11346.785764285718,True,2024-02-12 03:00:00
2024-02-13 13:00:00,2024-02-13 14:00:00,short,2018.601,2013.9728892857145,2020.1437035714287,2013.9728892857145,0.55,4.62811071428564,232.5460892857102,2.0494446102759305,TP,11579.331853571428,False,2024-02-13 00:00:00
2024-02-14 09:00:00,2024-02-14 14:00:00,short,1991.332,1990.832,1990.832,1984.4818428571436,0.38,0.20000000000004547,-7.599999999998273,-0.06563418421810059,SL,11571.73185357143,True,2024-02-14 00:00:00
