entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_points,pnl_dollars,reason,capital,be_moved
2024-01-30 13:00:00,2024-01-30 14:00:00,long,2037.87,2047.5182142857143,2034.0107142857141,2047.5182142857143,0.26,9.648214285714403,250.85357142857447,TP,10250.853571428575,False
2024-02-14 14:00:00,2024-02-14 16:00:00,short,1987.485,1991.263714285714,1991.263714285714,1978.0382142857143,0.27,-3.778714285714159,-102.02528571428229,SL,10148.828285714293,False
2024-03-06 15:00:00,2024-03-06 16:00:00,long,2141.02,2148.235,2141.52,2157.6882142857144,0.15,7.2150000000001455,108.22500000000218,SessionEnd,10257.053285714295,True
2024-03-08 13:00:00,2024-03-08 14:00:00,long,2171.23,2164.1294285714284,2164.1294285714284,2188.9814285714283,0.14,-7.100571428571584,-99.40800000000219,SL,10157.645285714292,False
2024-06-17 14:00:00,2024-06-17 15:00:00,long,2324.62,2318.629,2318.629,2339.5975,0.17,-5.9909999999999854,-101.84699999999975,SL,10055.798285714292,False
2024-06-19 11:00:00,2024-06-19 12:00:00,long,2330.48,2326.8954285714285,2326.8954285714285,2339.4414285714283,0.28,-3.5845714285715076,-100.36800000000223,SL,9955.43028571429,False
2024-06-19 15:00:00,2024-06-19 16:00:00,long,2329.835,2329.475,2325.2728571428574,2341.2403571428567,0.22,-0.36000000000012733,-7.920000000002801,SessionEnd,9947.510285714288,False
2024-06-20 10:00:00,2024-06-20 14:00:00,long,2339.49,2353.5996428571425,2342.1802857142857,2353.5996428571425,0.18,14.109642857142717,253.9735714285689,TP,10201.483857142857,True
2024-06-25 12:00:00,2024-06-25 16:00:00,short,2324.265,2323.765,2323.765,2309.267142857143,0.17,0.5,8.5,SL,10209.983857142857,True
2024-07-09 11:00:00,2024-07-09 13:00:00,short,2360.685,2365.2342857142858,2365.2342857142858,2349.3117857142856,0.22,-4.549285714285816,-100.08428571428794,SL,10109.89957142857,False
2024-07-15 13:00:00,2024-07-15 15:00:00,long,2419.205,2434.5714285714284,2424.4911428571427,2434.5714285714284,0.16,15.366428571428514,245.86285714285623,TP,10355.762428571426,True
2024-07-18 14:00:00,2024-07-18 15:00:00,long,2468.48,2461.565857142857,2461.565857142857,2485.7653571428573,0.15,-6.914142857142906,-103.71214285714359,SL,10252.050285714282,False
2024-07-22 11:00:00,2024-07-22 13:00:00,short,2398.12,2397.62,2397.62,2381.4475,0.15,0.5,7.5,SL,10259.550285714282,True
2024-07-24 11:00:00,2024-07-24 14:00:00,long,2417.525,2431.7632142857146,2418.025,2431.7632142857146,0.18,14.238214285714548,256.28785714286187,TP,10515.838142857145,True
2024-07-29 12:00:00,2024-07-29 14:00:00,long,2393.91,2387.3922857142857,2387.3922857142857,2410.2042857142856,0.16,-6.517714285714192,-104.28342857142707,SL,10411.554714285718,False
2024-08-06 12:00:00,2024-08-06 16:00:00,short,2393.06,2390.0,2392.56,2366.5646428571426,0.1,3.0599999999999454,30.599999999999454,SessionEnd,10442.154714285716,True
2024-08-07 07:00:00,2024-08-07 10:00:00,short,2389.42,2396.9864285714284,2396.9864285714284,2370.503928571429,0.14,-7.566428571428332,-105.92999999999667,SL,10336.22471428572,False
2024-08-09 10:00:00,2024-08-09 12:00:00,long,2430.505,2424.4595714285715,2424.4595714285715,2445.6185714285716,0.17,-6.045428571428602,-102.77228571428623,SL,10233.452428571432,False
2024-08-13 13:00:00,2024-08-13 14:00:00,long,2472.94,2464.9480000000003,2464.9480000000003,2492.92,0.13,-7.991999999999734,-103.89599999999655,SL,10129.556428571435,False
2024-08-19 14:00:00,2024-08-19 16:00:00,long,2501.305,2505.51,2492.716,2522.7775,0.12,4.205000000000382,50.460000000004584,SessionEnd,10180.01642857144,False
2024-09-03 10:00:00,2024-09-03 11:00:00,short,2497.405,2485.1382142857146,2502.3117142857145,2485.1382142857146,0.21,12.266785714285561,257.6024999999968,TP,10437.618928571437,False
2024-09-03 12:00:00,2024-09-03 14:00:00,short,2493.335,2474.977142857143,2489.2228571428573,2474.977142857143,0.14,18.35785714285703,257.00999999999846,TP,10694.628928571436,True
2024-09-12 11:00:00,2024-09-12 12:00:00,long,2519.605,2530.5882142857145,2515.211714285714,2530.5882142857145,0.24,10.983214285714439,263.59714285714654,TP,10958.226071428582,False
2024-09-16 08:00:00,2024-09-16 10:00:00,long,2586.93,2581.9731428571426,2581.9731428571426,2599.322142857143,0.22,-4.956857142857189,-109.05085714285815,SL,10849.175214285724,False
2024-09-23 09:00:00,2024-09-23 16:00:00,long,2621.675,2628.235,2625.001142857143,2636.2314285714288,0.19,6.559999999999945,124.63999999999896,SessionEnd,10973.815214285723,True
2024-09-25 13:00:00,2024-09-25 14:00:00,long,2664.55,2657.359,2657.359,2682.5275,0.15,-7.191000000000258,-107.86500000000387,SL,10865.95021428572,False
2024-09-26 07:00:00,2024-09-26 11:00:00,long,2664.705,2677.750714285714,2667.2897142857146,2677.750714285714,0.21,13.045714285713984,273.95999999999367,TP,11139.910214285714,True
2024-09-26 15:00:00,2024-09-26 16:00:00,long,2671.46,2668.265,2661.2617142857143,2696.9557142857143,0.11,-3.1950000000001637,-35.1450000000018,SessionEnd,11104.765214285711,False
2024-09-30 10:00:00,2024-09-30 16:00:00,short,2636.995,2639.2,2645.360714285714,2616.080714285714,0.13,-2.2049999999999272,-28.664999999999054,SessionEnd,11076.100214285712,False
2024-10-04 11:00:00,2024-10-04 12:00:00,long,2661.42,2656.8612857142857,2656.8612857142857,2672.8167857142857,0.24,-4.558714285714359,-109.40914285714462,SL,10966.691071428568,False
2024-10-08 14:00:00,2024-10-08 16:00:00,short,2621.12,2609.05,2620.62,2591.8014285714285,0.09,12.069999999999709,108.62999999999738,SessionEnd,11075.321071428565,True
2024-10-11 10:00:00,2024-10-11 15:00:00,long,2641.68,2657.307857142857,2645.1057142857144,2657.307857142857,0.18,15.62785714285701,281.3014285714262,TP,11356.62249999999,True
2024-10-17 10:00:00,2024-10-17 11:00:00,long,2687.455,2681.6615714285713,2681.6615714285713,2701.9385714285713,0.2,-5.793428571428649,-115.86857142857298,SL,11240.753928571417,False
2024-10-22 14:00:00,2024-10-22 16:00:00,long,2741.905,2745.39,2734.188571428572,2761.1960714285715,0.15,3.4849999999996726,52.27499999999509,SessionEnd,11293.028928571413,False
2024-10-29 13:00:00,2024-10-29 15:00:00,long,2760.93,2761.43,2761.43,2781.020357142857,0.14,0.5,7.000000000000001,SL,11300.028928571413,True
2024-10-30 12:00:00,2024-10-30 13:00:00,long,2782.545,2775.939428571429,2775.939428571429,2799.0589285714286,0.17,-6.605571428571238,-112.29471428571105,SL,11187.734214285701,False
2024-10-30 15:00:00,2024-10-30 16:00:00,long,2784.74,2785.445,2775.917,2806.7974999999997,0.13,0.705000000000382,9.165000000004966,SessionEnd,11196.899214285706,False
2024-11-01 14:00:00,2024-11-01 16:00:00,short,2747.26,2743.195,2755.693,2726.1775,0.13,4.065000000000055,52.84500000000071,SessionEnd,11249.744214285707,False
2024-11-04 07:00:00,2024-11-04 09:00:00,short,2735.895,2742.4247142857143,2742.4247142857143,2719.570714285714,0.17,-6.529714285714363,-111.00514285714416,SL,11138.739071428563,False
2024-11-05 12:00:00,2024-11-05 13:00:00,short,2738.0,2744.8764285714287,2744.8764285714287,2720.8089285714286,0.16,-6.8764285714287325,-110.02285714285972,SL,11028.716214285703,False
