time,open,high,low,close
2024-01-01T18:00:00-05:00,16842.2,16849.1,16826.8,16841.9
2024-01-01T19:00:00-05:00,16842.3,16842.6,16830.8,16839.1
2024-01-01T20:00:00-05:00,16839.4,16850.6,16823.3,16826.5
2024-01-01T21:00:00-05:00,16826.6,16831,16813.1,16820.5
2024-01-01T22:00:00-05:00,16820.4,16825,16814.3,16819.4
2024-01-01T23:00:00-05:00,16819.5,16825.1,16815.5,16819.9
2024-01-02T00:00:00-05:00,16820.6,16831.6,16818.9,16830.2
2024-01-02T01:00:00-05:00,16830.3,16831.7,16815.4,16816.8
2024-01-02T02:00:00-05:00,16816.9,16835.4,16816.7,16829.4
2024-01-02T03:00:00-05:00,16829.2,16848.9,16828.4,16839.6
2024-01-02T04:00:00-05:00,16839.7,16840.6,16800.3,16807.2
2024-01-02T05:00:00-05:00,16806.4,16809.9,16780.9,16783.4
2024-01-02T06:00:00-05:00,16782.4,16789.2,16658.1,16687.4
2024-01-02T07:00:00-05:00,16689.4,16690.3,16629.7,16635.7
2024-01-02T08:00:00-05:00,16634.9,16669,16630.2,16666.4
2024-01-02T09:00:00-05:00,16666.8,16691.2,16537.9,16581.3
2024-01-02T10:00:00-05:00,16581.1,16606.1,16509.7,16535.2
2024-01-02T11:00:00-05:00,16534.9,16609.7,16533.6,16602.4
2024-01-02T12:00:00-05:00,16602.7,16611.3,16542.4,16544.6
2024-01-02T13:00:00-05:00,16544.4,16566.2,16512.7,16520.8
2024-01-02T14:00:00-05:00,16520.7,16531.8,16479.2,16479.2
2024-01-02T15:00:00-05:00,16479.4,16550.2,16447.7,16546.3
2024-01-02T16:00:00-05:00,16545.4,16560.2,16538.4,16553.7
2024-01-02T18:00:00-05:00,16559.2,16560,16541.7,16548.9
2024-01-02T19:00:00-05:00,16549.7,16553.5,16539.4,16540.7
2024-01-02T20:00:00-05:00,16541,16545.1,16531.7,16535.7
2024-01-02T21:00:00-05:00,16535.5,16539,16524.4,16527.2
2024-01-02T22:00:00-05:00,16527,16533.4,16525.7,16527.6
2024-01-02T23:00:00-05:00,16527.2,16528.7,16517.7,16519
2024-01-03T00:00:00-05:00,16519.1,16529.9,16513.5,16528.9
2024-01-03T01:00:00-05:00,16528.5,16541.1,16524.6,16536.7
2024-01-03T02:00:00-05:00,16536.3,16538.5,16526.8,16535
2024-01-03T03:00:00-05:00,16536.3,16553.8,16497.5,16499
2024-01-03T04:00:00-05:00,16502.7,16513.2,16466.5,16467.8
2024-01-03T05:00:00-05:00,16467.4,16498.9,16462.3,16482.5
2024-01-03T06:00:00-05:00,16482.8,16490.5,16461.3,16473.4
2024-01-03T07:00:00-05:00,16474,16474,16428,16434
2024-01-03T08:00:00-05:00,16433.8,16470.8,16423,16442.2
2024-01-03T09:00:00-05:00,16442.3,16467.7,16407.5,16438.9
