time,open,high,low,close
2022-01-02T23:00:00,1830.615,1831.73,1828.021,1828.453
2022-01-03T00:00:00,1828.422,1830.822,1826.983,1830.207
2022-01-03T01:00:00,1830.176,1831.542,1827.596,1828.788
2022-01-03T02:00:00,1828.796,1828.858,1825.489,1826.123
2022-01-03T03:00:00,1826.154,1826.846,1824.204,1825.685
2022-01-03T04:00:00,1825.689,1825.952,1824.58,1825.146
2022-01-03T05:00:00,1825.149,1825.704,1823.701,1825.416
2022-01-03T06:00:00,1825.413,1825.715,1823.699,1825.307
2022-01-03T07:00:00,1825.338,1825.369,1820.826,1824.004
2022-01-03T08:00:00,1823.973,1824.364,1821.356,1822.862
2022-01-03T09:00:00,1822.893,1826.614,1822.449,1826.408
2022-01-03T10:00:00,1826.438,1827.457,1825.528,1826.44
2022-01-03T11:00:00,1826.419,1827.037,1822.282,1822.834
2022-01-03T12:00:00,1822.849,1823.183,1821.278,1821.562
2022-01-03T13:00:00,1821.527,1821.98,1805.691,1806.799
2022-01-03T14:00:00,1806.762,1810.839,1802.778,1802.839
2022-01-03T15:00:00,1802.87,1806.476,1799.762,1801.842
2022-01-03T16:00:00,1801.811,1801.917,1798.304,1800.768
2022-01-03T17:00:00,1800.806,1800.905,1798.778,1799.574
2022-01-03T18:00:00,1799.543,1802.166,1799.032,1801.658
2022-01-03T19:00:00,1801.688,1802.949,1801.035,1801.66
2022-01-03T20:00:00,1801.652,1804.517,1801.129,1801.831
2022-01-03T21:00:00,1801.801,1802.244,1800.931,1801.227
2022-01-03T23:00:00,1802.262,1804.263,1802.226,1804.101
2022-01-04T00:00:00,1804.127,1804.855,1802.902,1804.344
2022-01-04T01:00:00,1804.375,1806.756,1803.195,1805.134
2022-01-04T02:00:00,1805.145,1807.045,1804.658,1805.352
2022-01-04T03:00:00,1805.358,1806.13,1803.78,1804.171
2022-01-04T04:00:00,1804.182,1804.235,1803.133,1803.44
2022-01-04T05:00:00,1803.407,1805.462,1803.222,1805.407
2022-01-04T06:00:00,1805.379,1806.006,1803.418,1803.486
2022-01-04T07:00:00,1803.478,1807.354,1803.227,1805.807
