time,open,high,low,close
2024-12-31T19:00:00-05:00,93347.59,94321.25,93281.63,94209.02
2024-12-31T20:00:00-05:00,94207.31,94224.3,93393.06,93423.47
2024-12-31T21:00:00-05:00,93423.48,93894.04,93400,93882.09
2024-12-31T22:00:00-05:00,93885,93885,93524.35,93635.54
2024-12-31T23:00:00-05:00,93635.54,93637.33,93305.54,93358.58
2025-01-01T00:00:00-05:00,93358.33,93708.79,93323.88,93572.8
2025-01-01T01:00:00-05:00,93575.72,93575.73,93354.99,93551.21
2025-01-01T02:00:00-05:00,93551.2,93600,93445.59,93478.85
2025-01-01T03:00:00-05:00,93478.85,93564.06,93106.4,93247.38
2025-01-01T04:00:00-05:00,93246.36,93317.84,92743.63,93220.42
2025-01-01T05:00:00-05:00,93222.48,93337.08,93078.18,93124.74
2025-01-01T06:00:00-05:00,93124.75,93498.46,92956.1,93250.79
2025-01-01T07:00:00-05:00,93250.79,93762.6,93172.42,93614.93
2025-01-01T08:00:00-05:00,93614.94,93857.14,93368.07,93821.32
2025-01-01T09:00:00-05:00,93821.33,94239.35,93466.91,93975.58
2025-01-01T10:00:00-05:00,93975.56,94289,93695.99,94225.28
2025-01-01T11:00:00-05:00,94212.75,94281.87,93640.87,93877.71
2025-01-01T12:00:00-05:00,93877.7,93971.7,93521.72,93924.22
2025-01-01T13:00:00-05:00,93922.41,94171.91,93682.21,94123.99
2025-01-01T14:00:00-05:00,94119.22,94638.63,93919.14,94434.89
2025-01-01T15:00:00-05:00,94427.86,94673.88,94400.97,94597.57
2025-01-01T16:00:00-05:00,94591.04,94960.91,94500.34,94776.87
2025-01-01T17:00:00-05:00,94775.01,94802.51,94483.3,94595.96
2025-01-01T18:00:00-05:00,94595.97,94751,94316.57,94383.59
2025-01-01T19:00:00-05:00,94383.59,95178.57,94177,94922.02
2025-01-01T20:00:00-05:00,94922.02,95338.18,94525.89,94676.65
2025-01-01T21:00:00-05:00,94676.65,95054.29,94606.46,95051.34
2025-01-01T22:00:00-05:00,95051.35,95107.39,94726.3,94827.25
2025-01-01T23:00:00-05:00,94832.39,95832.21,94803.6,95532.47
2025-01-02T00:00:00-05:00,95524.62,95625.11,95208.57,95415.55
2025-01-02T01:00:00-05:00,95415.29,95524.07,95184.81,95428.76
2025-01-02T02:00:00-05:00,95437.35,95758.91,95359,95691.24
2025-01-02T03:00:00-05:00,95692.21,96071.15,95491.36,95999.88
2025-01-02T04:00:00-05:00,95999.87,96669.06,95895.38,96628.99
2025-01-02T05:00:00-05:00,96621.65,96679.99,96429.68,96607.44
2025-01-02T06:00:00-05:00,96607.43,96774.06,96368.56,96631.02
2025-01-02T07:00:00-05:00,96631.02,96794.56,96503.17,96754.56
2025-01-02T08:00:00-05:00,96754.55,96867.17,96329.16,96358.68
2025-01-02T09:00:00-05:00,96358.67,97295,95849.42,97183.21
2025-01-02T10:00:00-05:00,97175.11,97254.13,96014.86,96362.35
2025-01-02T11:00:00-05:00,96362.35,97583,95914.36,97167
2025-01-02T12:00:00-05:00,97165.58,97524.81,96217.3,96665.63
2025-01-02T13:00:00-05:00,96665.63,97282.55,96312.37,97236.28
2025-01-02T14:00:00-05:00,97236.27,97705.05,97100.73,97224.83
2025-01-02T15:00:00-05:00,97224.83,97776.99,97198.11,97209.38
2025-01-02T16:00:00-05:00,97209.37,97261.83,96941.91,97107.8
2025-01-02T17:00:00-05:00,97107.8,97107.8,96633.33,96799.84
2025-01-02T18:00:00-05:00,96798.41,96991.15,96679.98,96903.19
2025-01-02T19:00:00-05:00,96905.48,96990.95,96698.56,96745.67
2025-01-02T20:00:00-05:00,96745.68,96912.9,96550.01,96889.05
2025-01-02T21:00:00-05:00,96889.06,97270.33,96750.37,96886.48
2025-01-02T22:00:00-05:00,96886.49,97013.54,96744.35,96970.54
2025-01-02T23:00:00-05:00,96970.55,96975.92,96680.01,96735.71
2025-01-03T00:00:00-05:00,96738.15,96791.14,96510.01,96677.58
2025-01-03T01:00:00-05:00,96674.27,96842.94,96427.72,96467.96
2025-01-03T02:00:00-05:00,96467.97,96585.23,96202.01,96232.47
2025-01-03T03:00:00-05:00,96232.46,96450.29,96016.63,96044.07
2025-01-03T04:00:00-05:00,96044.07,96627.41,96018.94,96467.56
2025-01-03T05:00:00-05:00,96479.37,96582.86,96320,96411.54
2025-01-03T06:00:00-05:00,96411.54,96759.45,96398.23,96679.43
2025-01-03T07:00:00-05:00,96679.43,96870.65,96585.52,96585.53
2025-01-03T08:00:00-05:00,96585.53,96766.18,96401,96430.55
2025-01-03T09:00:00-05:00,96429.85,97284,96422.84,96957.36
2025-01-03T10:00:00-05:00,96957.37,97612.67,96695.58,97464.8
2025-01-03T11:00:00-05:00,97458.07,98402.84,97342.97,97804.66
2025-01-03T12:00:00-05:00,97804.67,98243.07,97769.59,97971.45
2025-01-03T13:00:00-05:00,97976.46,98653.73,97933.23,98490.05
2025-01-03T14:00:00-05:00,98489.44,98969.92,98458.7,98562.77
2025-01-03T15:00:00-05:00,98554.95,98741.4,98252.93,98300.02
2025-01-03T16:00:00-05:00,98297.65,98407.66,98150,98234.45
2025-01-03T17:00:00-05:00,98234.45,98497.5,98207.44,98269.15
2025-01-03T18:00:00-05:00,98269.15,98347.69,98020.47,98136.51
2025-01-03T19:00:00-05:00,98139.85,98271.66,97839.12,97919.27
2025-01-03T20:00:00-05:00,97910.52,98069.36,97749.98,97989.74
2025-01-03T21:00:00-05:00,97989.35,98279.58,97803.95,98268.34
2025-01-03T22:00:00-05:00,98260.94,98264.67,98004.27,98162.98
2025-01-03T23:00:00-05:00,98162.98,98162.98,97826.77,97957.84
2025-01-04T00:00:00-05:00,97957.91,98161.54,97936.92,98092.44
2025-01-04T01:00:00-05:00,98091.56,98175.8,97989.85,98085.7
2025-01-04T02:00:00-05:00,98085.7,98296.72,98054.77,98240.53
2025-01-04T03:00:00-05:00,98236.76,98267.25,97872.5,97886.86
2025-01-04T04:00:00-05:00,97886.85,97964.3,97528.26,97653.5
2025-01-04T05:00:00-05:00,97656.26,97825.16,97575.44,97759.33
2025-01-04T06:00:00-05:00,97759.33,97900.8,97673.55,97855.09
2025-01-04T07:00:00-05:00,97862.02,97990.34,97764.73,97858.41
2025-01-04T08:00:00-05:00,97853.76,98053.93,97712.41,97948.8
2025-01-04T09:00:00-05:00,97948.81,98064.8,97800.57,98020.04
2025-01-04T10:00:00-05:00,98020.04,98143.1,97516.65,97649.43
2025-01-04T11:00:00-05:00,97650.5,97859.74,97550.47,97700.74
2025-01-04T12:00:00-05:00,97701.97,98042,97669.14,98006.89
2025-01-04T13:00:00-05:00,98017.68,98135.53,97879.01,97948.21
2025-01-04T14:00:00-05:00,97948.2,98500,97907.92,98156.45
2025-01-04T15:00:00-05:00,98150.12,98666,98145.97,98590.39
2025-01-04T16:00:00-05:00,98590.4,98761.02,98317.51,98355.36
2025-01-04T17:00:00-05:00,98355.36,98481.8,98244.13,98399.1
2025-01-04T18:00:00-05:00,98398.89,98419.42,98132.54,98209.85
2025-01-04T19:00:00-05:00,98209.85,98386.57,98134.66,98203.82
2025-01-04T20:00:00-05:00,98203.81,98316.01,98020.01,98114.97
2025-01-04T21:00:00-05:00,98114.96,98214.74,98076.12,98207.94
2025-01-04T22:00:00-05:00,98207.95,98217.32,98033.74,98161.13
2025-01-04T23:00:00-05:00,98159.69,98494.82,98159.69,98329
2025-01-05T00:00:00-05:00,98332.06,98482.21,98232.03,98334.9
2025-01-05T01:00:00-05:00,98334.09,98476.19,98261.86,98430.25
2025-01-05T02:00:00-05:00,98430.26,98450,98236.76,98247.84
2025-01-05T03:00:00-05:00,98247.84,98247.84,97763.56,97840.84
2025-01-05T04:00:00-05:00,97840.83,97920.37,97609,97631.76
2025-01-05T05:00:00-05:00,97631.76,97737.1,97565,97700.53
2025-01-05T06:00:00-05:00,97706.59,97805.9,97582.3,97621.82
2025-01-05T07:00:00-05:00,97621.81,97935.1,97550,97737.01
2025-01-05T08:00:00-05:00,97737.02,98000,97650,97668.99
2025-01-05T09:00:00-05:00,97669,97937.36,97250,97831.21
2025-01-05T10:00:00-05:00,97831.21,98252.74,97681.13,98003.23
2025-01-05T11:00:00-05:00,98003.23,98318.69,97916.29,98005.96
2025-01-05T12:00:00-05:00,98005.96,98050,97638.62,97717.87
2025-01-05T13:00:00-05:00,97717.86,97917.13,97560,97895.55
2025-01-05T14:00:00-05:00,97898.98,98095.38,97822.02,98060.46
2025-01-05T15:00:00-05:00,98060.46,98639.37,97987.36,98253.13
2025-01-05T16:00:00-05:00,98253.13,98508.7,98185.57,98482.67
2025-01-05T17:00:00-05:00,98482.67,98721.75,98316.5,98658.42
